country,vegetable,price,available_stock,daily_demand,freshness_age,shelf_life_days,remaining_life,supply_demand_gap,harvest_month,harvest_dayofweek,harvest_quarter,wastage_risk_enc,stock_demand_ratio,life_used_ratio,days_to_expire,predicted_14day_demand,stock_after_14days,shortage_in_14days,potential_wastage_units,expires_before_14days,freshness_pct_remaining,price_demand_ratio,overstock_flag
1,0,32.47,310,106,5,20,15,204,7,0,3,1,2.897196261682243,0.23809523809523808,15,1484,-1174,1,0,0,71.42857142857143,0.3034579439252336,0
1,6,27.48,526,342,21,26,5,184,8,1,3,2,1.533527696793003,0.7777777777777778,5,4788,-4262,1,0,1,18.51851851851852,0.08011661807580175,0
0,5,29.99,135,216,4,18,14,-81,3,6,1,1,0.6221198156682027,0.21052631578947367,14,3024,-2889,1,0,0,73.68421052631578,0.13820276497695852,0
0,7,60.33,211,75,0,18,18,136,2,0,1,1,2.776315789473684,0.0,18,1050,-839,1,0,0,94.73684210526315,0.7938157894736841,0
1,4,119.1,233,260,0,7,7,-27,12,2,4,1,0.89272030651341,0.0,7,3640,-3407,1,0,1,87.5,0.45632183908045976,0
0,4,177.81,337,428,1,16,15,-91,12,5,4,1,0.7855477855477856,0.058823529411764705,15,5992,-5655,1,0,0,88.23529411764706,0.4144755244755245,0
0,4,172.16,305,368,19,26,7,-63,6,0,2,1,0.8265582655826558,0.7037037037037037,7,5152,-4847,1,0,1,25.925925925925924,0.46655826558265584,0
1,2,103.32,531,130,7,13,6,401,1,6,1,1,4.0534351145038165,0.5,6,1820,-1289,1,0,1,42.857142857142854,0.7887022900763359,1
1,3,31.45,193,158,1,12,11,35,10,4,4,1,1.2138364779874213,0.07692307692307693,11,2212,-2019,1,0,1,84.61538461538461,0.19779874213836476,0
1,9,44.22,226,157,8,14,6,69,2,2,1,1,1.4303797468354431,0.5333333333333333,6,2198,-1972,1,0,1,40.0,0.27987341772151897,0
1,1,119.26,598,99,0,15,15,499,1,4,1,1,5.98,0.0,15,1386,-788,1,0,0,93.75,1.1926,1
0,8,118.34,511,241,10,12,2,270,8,6,3,0,2.1115702479338845,0.7692307692307693,2,3374,-2863,1,0,1,15.384615384615385,0.4890082644628099,0
0,0,153.18,83,361,0,15,15,-278,2,0,1,1,0.2292817679558011,0.0,15,5054,-4971,1,0,0,93.75,0.42314917127071827,0
0,6,152.68,477,106,14,22,8,371,5,6,2,1,4.457943925233645,0.6086956521739131,8,1484,-1007,1,0,1,34.78260869565217,1.4269158878504673,1
1,9,105.68,456,214,4,13,9,242,12,3,4,1,2.1209302325581394,0.2857142857142857,9,2996,-2540,1,0,1,64.28571428571429,0.49153488372093024,0
1,2,189.3,483,304,11,25,14,179,11,3,4,1,1.5836065573770493,0.4230769230769231,14,4256,-3773,1,0,0,53.84615384615385,0.6206557377049181,0
0,7,116.92,297,35,7,10,3,262,1,4,1,2,8.25,0.6363636363636364,3,490,-193,1,0,1,27.27272727272727,3.247777777777778,1
1,9,71.76,288,132,4,19,15,156,9,1,3,1,2.1654135338345863,0.2,15,1848,-1560,1,0,0,75.0,0.5395488721804511,0
1,6,191.97,544,410,16,28,12,134,4,0,2,1,1.3236009732360097,0.5517241379310345,12,5740,-5196,1,0,1,41.37931034482759,0.4670802919708029,0
1,4,149.83,240,416,6,12,6,-176,7,1,3,1,0.5755395683453237,0.46153846153846156,6,5824,-5584,1,0,1,46.15384615384615,0.3593045563549161,0
1,8,36.54,248,498,7,8,1,-250,9,6,3,2,0.4969939879759519,0.7777777777777778,1,6972,-6724,1,0,1,11.11111111111111,0.07322645290581162,0
0,8,67.07,189,66,15,16,1,123,11,0,4,0,2.8208955223880596,0.8823529411764706,1,924,-735,1,0,1,5.88235294117647,1.0010447761194028,0
0,5,74.69,351,464,19,26,7,-113,9,4,3,1,0.7548387096774194,0.7037037037037037,7,6496,-6145,1,0,1,25.925925925925924,0.16062365591397848,0
0,8,87.18,493,111,15,25,10,382,9,5,3,1,4.401785714285714,0.5769230769230769,10,1554,-1061,1,0,1,38.46153846153847,0.7783928571428572,1
1,9,75.89,245,154,2,17,15,91,6,5,2,1,1.5806451612903225,0.1111111111111111,15,2156,-1911,1,0,0,83.33333333333334,0.4896129032258065,0
0,8,30.31,546,487,5,10,5,59,5,3,2,2,1.1188524590163935,0.45454545454545453,5,6818,-6272,1,0,1,45.45454545454545,0.06211065573770492,0
1,7,180.95,134,343,8,20,12,-209,7,5,3,1,0.38953488372093026,0.38095238095238093,12,4802,-4668,1,0,1,57.14285714285714,0.5260174418604651,0
1,9,86.76,78,211,6,7,1,-133,8,6,3,2,0.36792452830188677,0.75,1,2954,-2876,1,0,1,12.5,0.4092452830188679,0
0,6,135.92,474,298,4,14,10,176,12,4,4,1,1.585284280936455,0.26666666666666666,10,4172,-3698,1,0,1,66.66666666666666,0.45458193979933104,0
0,6,133.86,215,400,3,20,17,-185,2,3,1,1,0.5361596009975063,0.14285714285714285,17,5600,-5385,1,0,0,80.95238095238095,0.3338154613466334,0
0,2,160.01,363,373,5,17,12,-10,6,3,2,1,0.9705882352941176,0.2777777777777778,12,5222,-4859,1,0,1,66.66666666666666,0.42783422459893045,0
1,1,114.27,245,34,3,14,11,211,3,3,1,1,7.0,0.2,11,476,-231,1,0,1,73.33333333333333,3.2648571428571427,1
1,9,144.56,122,379,10,29,19,-257,10,1,4,1,0.32105263157894737,0.3333333333333333,19,5306,-5184,1,0,0,63.33333333333333,0.38042105263157894,0
0,2,183.61,418,264,17,21,4,154,1,6,1,2,1.5773584905660378,0.7727272727272727,4,3696,-3278,1,0,1,18.181818181818183,0.6928679245283019,0
1,7,28.6,454,431,15,25,10,23,6,1,2,1,1.0509259259259258,0.5769230769230769,10,6034,-5580,1,0,1,38.46153846153847,0.06620370370370371,0
1,9,112.94,206,455,22,28,6,-249,6,2,2,1,0.4517543859649123,0.7586206896551724,6,6370,-6164,1,0,1,20.689655172413794,0.24767543859649122,0
0,6,145.29,526,273,23,27,4,253,12,1,4,2,1.9197080291970803,0.8214285714285714,4,3822,-3296,1,0,1,14.285714285714285,0.5302554744525547,0
1,1,62.81,360,200,9,12,3,160,11,0,4,2,1.791044776119403,0.6923076923076923,3,2800,-2440,1,0,1,23.076923076923077,0.3124875621890547,0
1,6,105.79,106,275,7,21,14,-169,5,5,2,1,0.38405797101449274,0.3181818181818182,14,3850,-3744,1,0,0,63.63636363636363,0.38329710144927537,0
1,3,136.14,342,61,12,19,7,281,8,5,3,1,5.516129032258065,0.6,7,854,-512,1,0,1,35.0,2.195806451612903,1
0,1,121.04,57,73,4,5,1,-16,9,3,3,2,0.7702702702702703,0.6666666666666666,1,1022,-965,1,0,1,16.666666666666664,1.6356756756756758,0
0,8,107.52,139,408,17,25,8,-269,3,5,1,1,0.33985330073349634,0.6538461538461539,8,5712,-5573,1,0,1,30.76923076923077,0.26288508557457213,0
0,0,47.98,82,349,6,9,3,-267,10,1,4,2,0.2342857142857143,0.6,3,4886,-4804,1,0,1,30.0,0.13708571428571428,0
0,3,73.12,514,482,0,12,12,32,2,3,1,1,1.0641821946169772,0.0,12,6748,-6234,1,0,1,92.3076923076923,0.15138716356107662,0
0,7,62.81,64,204,2,22,20,-140,9,3,3,1,0.3121951219512195,0.08695652173913043,20,2856,-2792,1,0,0,86.95652173913044,0.306390243902439,0
0,0,174.42,390,53,2,12,10,337,6,1,2,1,7.222222222222222,0.15384615384615385,10,742,-352,1,0,1,76.92307692307693,3.23,1
0,4,102.85,97,372,0,6,6,-275,10,0,4,1,0.26005361930294907,0.0,6,5208,-5111,1,0,1,85.71428571428571,0.2757372654155496,0
1,2,187.2,256,180,3,19,16,76,12,0,4,1,1.4143646408839778,0.15,16,2520,-2264,1,0,0,80.0,1.0342541436464088,0
0,1,194.53,491,460,10,19,9,31,10,1,4,1,1.0650759219088937,0.5,9,6440,-5949,1,0,1,45.0,0.42197396963123646,0
0,6,198.18,205,416,22,29,7,-211,9,3,3,1,0.49160671462829736,0.7333333333333333,7,5824,-5619,1,0,1,23.333333333333332,0.4752517985611511,0
0,1,80.08,271,361,4,22,18,-90,2,3,1,1,0.7486187845303868,0.17391304347826086,18,5054,-4783,1,0,0,78.26086956521739,0.22121546961325966,0
1,3,73.31,540,394,0,12,12,146,9,3,3,1,1.3670886075949367,0.0,12,5516,-4976,1,0,1,92.3076923076923,0.18559493670886076,0
1,1,33.13,166,85,0,18,18,81,2,2,1,1,1.930232558139535,0.0,18,1190,-1024,1,0,0,94.73684210526315,0.3852325581395349,0
0,6,192.12,440,334,0,6,6,106,8,4,3,1,1.3134328358208955,0.0,6,4676,-4236,1,0,1,85.71428571428571,0.5734925373134329,0
1,5,107.79,352,85,10,13,3,267,8,2,3,2,4.093023255813954,0.7142857142857143,3,1190,-838,1,0,1,21.428571428571427,1.253372093023256,1
1,3,170.37,286,498,5,7,2,-212,4,0,2,2,0.5731462925851704,0.625,2,6972,-6686,1,0,1,25.0,0.34142284569138276,0
0,8,28.76,351,367,18,22,4,-16,10,6,4,2,0.9538043478260869,0.782608695652174,4,5138,-4787,1,0,1,17.391304347826086,0.07815217391304348,0
1,8,128.92,456,70,5,20,15,386,3,0,1,1,6.422535211267606,0.23809523809523808,15,980,-524,1,0,0,71.42857142857143,1.8157746478873238,1
0,8,64.76,79,106,19,25,6,-27,2,4,1,1,0.7383177570093458,0.7307692307692307,6,1484,-1405,1,0,1,23.076923076923077,0.6052336448598131,0
1,1,123.49,379,372,22,26,4,7,10,2,4,2,1.0160857908847185,0.8148148148148148,4,5208,-4829,1,0,1,14.814814814814813,0.3310723860589812,0
0,5,115.47,345,342,8,15,7,3,2,3,1,1,1.0058309037900874,0.5,7,4788,-4443,1,0,1,43.75,0.3366472303206997,0
0,3,31.73,383,46,6,21,15,337,4,0,2,1,8.148936170212766,0.2727272727272727,15,644,-261,1,0,0,68.18181818181817,0.6751063829787234,1
1,5,76.51,242,243,8,10,2,-1,1,1,1,2,0.9918032786885246,0.7272727272727273,2,3402,-3160,1,0,1,18.181818181818183,0.3135655737704918,0
0,2,86.04,461,478,10,17,7,-17,8,0,3,1,0.9624217118997912,0.5555555555555556,7,6692,-6231,1,0,1,38.88888888888889,0.17962421711899793,0
0,3,123.56,537,224,10,22,12,313,6,5,2,1,2.3866666666666667,0.43478260869565216,12,3136,-2599,1,0,1,52.17391304347826,0.5491555555555556,0
1,2,144.7,301,464,5,12,7,-163,1,2,1,1,0.6473118279569893,0.38461538461538464,7,6496,-6195,1,0,1,53.84615384615385,0.3111827956989247,0
1,3,49.26,311,468,4,14,10,-157,4,2,2,1,0.6631130063965884,0.26666666666666666,10,6552,-6241,1,0,1,66.66666666666666,0.1050319829424307,0
0,3,53.04,115,50,8,9,1,65,10,2,4,2,2.2549019607843137,0.8,1,700,-585,1,0,1,10.0,1.04,0
0,0,39.75,467,313,2,5,3,154,5,6,2,2,1.4872611464968153,0.3333333333333333,3,4382,-3915,1,0,1,50.0,0.1265923566878981,0
0,2,64.78,253,151,2,19,17,102,9,6,3,1,1.6644736842105263,0.1,17,2114,-1861,1,0,0,85.0,0.4261842105263158,0
0,8,77.08,192,150,2,11,9,42,4,6,2,1,1.271523178807947,0.16666666666666666,9,2100,-1908,1,0,1,75.0,0.5104635761589403,0
1,9,27.52,174,370,7,22,15,-196,9,2,3,1,0.46900269541778977,0.30434782608695654,15,5180,-5006,1,0,0,65.21739130434783,0.07417789757412399,0
1,6,78.14,402,207,3,6,3,195,8,0,3,2,1.9326923076923077,0.42857142857142855,3,2898,-2496,1,0,1,42.857142857142854,0.37567307692307694,0
0,9,97.75,491,30,10,16,6,461,4,3,2,1,15.838709677419354,0.5882352941176471,6,420,71,0,71,1,35.294117647058826,3.153225806451613,1
1,1,168.43,412,280,15,23,8,132,6,6,2,1,1.4661921708185053,0.625,8,3920,-3508,1,0,1,33.33333333333333,0.5993950177935943,0
1,1,198.83,594,69,0,5,5,525,3,5,1,2,8.485714285714286,0.0,5,966,-372,1,0,1,83.33333333333334,2.8404285714285717,1
1,1,34.09,552,239,17,19,2,313,2,4,1,0,2.3,0.85,2,3346,-2794,1,0,1,10.0,0.14204166666666668,0
1,7,69.13,351,330,7,14,7,21,1,2,1,1,1.0604229607250755,0.4666666666666667,7,4620,-4269,1,0,1,46.666666666666664,0.20885196374622356,0
0,9,88.33,268,382,1,12,11,-114,6,5,2,1,0.6997389033942559,0.07692307692307693,11,5348,-5080,1,0,1,84.61538461538461,0.2306266318537859,0
0,5,140.3,472,151,6,10,4,321,12,3,4,2,3.1052631578947367,0.5454545454545454,4,2114,-1642,1,0,1,36.36363636363637,0.9230263157894738,0
1,7,89.02,252,78,10,17,7,174,5,3,2,1,3.189873417721519,0.5555555555555556,7,1092,-840,1,0,1,38.88888888888889,1.1268354430379746,0
0,5,101.8,555,114,6,18,12,441,1,1,1,1,4.826086956521739,0.3157894736842105,12,1596,-1041,1,0,1,63.1578947368421,0.8852173913043478,1
0,8,74.81,407,445,11,14,3,-38,10,4,4,2,0.9125560538116592,0.7333333333333333,3,6230,-5823,1,0,1,20.0,0.16773542600896862,0
0,6,78.47,57,286,0,5,5,-229,8,0,3,2,0.1986062717770035,0.0,5,4004,-3947,1,0,1,83.33333333333334,0.2734146341463415,0
1,3,41.6,248,192,6,13,7,56,7,3,3,1,1.2849740932642486,0.42857142857142855,7,2688,-2440,1,0,1,50.0,0.2155440414507772,0
1,6,112.77,345,368,17,20,3,-23,7,1,3,2,0.9349593495934959,0.8095238095238095,3,5152,-4807,1,0,1,14.285714285714285,0.30560975609756097,0
0,9,169.68,85,398,2,12,10,-313,5,2,2,1,0.21303258145363407,0.15384615384615385,10,5572,-5487,1,0,1,76.92307692307693,0.42526315789473684,0
0,4,163.61,187,159,16,29,13,28,2,3,1,1,1.16875,0.5333333333333333,13,2226,-2039,1,0,1,43.333333333333336,1.0225625,0
0,4,157.42,530,262,2,10,8,268,1,5,1,1,2.0152091254752853,0.18181818181818182,8,3668,-3138,1,0,1,72.72727272727273,0.5985551330798479,0
0,6,169.4,489,193,1,16,15,296,1,0,1,1,2.520618556701031,0.058823529411764705,15,2702,-2213,1,0,0,88.23529411764706,0.8731958762886598,0
1,8,88.95,569,349,14,19,5,220,9,0,3,2,1.6257142857142857,0.7,5,4886,-4317,1,0,1,25.0,0.25414285714285717,0
1,0,31.34,267,61,24,29,5,206,7,4,3,2,4.306451612903226,0.8,5,854,-587,1,0,1,16.666666666666664,0.5054838709677419,1
1,0,153.2,572,447,7,8,1,125,2,1,1,0,1.2767857142857142,0.7777777777777778,1,6258,-5686,1,0,1,11.11111111111111,0.34196428571428567,0
0,9,20.12,304,142,8,22,14,162,10,6,4,1,2.125874125874126,0.34782608695652173,14,1988,-1684,1,0,0,60.86956521739131,0.1406993006993007,0
0,5,164.15,382,260,16,25,9,122,10,5,4,1,1.4636015325670497,0.6153846153846154,9,3640,-3258,1,0,1,34.61538461538461,0.6289272030651342,0
1,8,53.71,588,459,0,10,10,129,4,0,2,1,1.2782608695652173,0.0,10,6426,-5838,1,0,1,90.9090909090909,0.11676086956521739,0
0,0,169.57,565,221,1,23,22,344,7,0,3,1,2.545045045045045,0.041666666666666664,22,3094,-2529,1,0,0,91.66666666666666,0.7638288288288287,0
1,8,156.18,371,107,22,28,6,264,3,2,1,1,3.435185185185185,0.7586206896551724,6,1498,-1127,1,0,1,20.689655172413794,1.4461111111111111,0
1,6,169.28,125,241,4,21,17,-116,2,1,1,1,0.5165289256198347,0.18181818181818182,17,3374,-3249,1,0,0,77.27272727272727,0.699504132231405,0
1,7,63.62,181,183,10,13,3,-2,12,6,4,2,0.9836956521739131,0.7142857142857143,3,2562,-2381,1,0,1,21.428571428571427,0.3457608695652174,0
0,8,173.59,294,327,25,27,2,-33,4,2,2,2,0.8963414634146342,0.8928571428571429,2,4578,-4284,1,0,1,7.142857142857142,0.5292378048780488,0
1,5,24.49,593,412,10,15,5,181,8,6,3,2,1.4358353510895885,0.625,5,5768,-5175,1,0,1,31.25,0.05929782082324455,0
1,2,45.85,598,301,5,9,4,297,4,4,2,2,1.9801324503311257,0.5,4,4214,-3616,1,0,1,40.0,0.15182119205298014,0
1,1,74.26,366,331,5,9,4,35,5,2,2,2,1.1024096385542168,0.5,4,4634,-4268,1,0,1,40.0,0.22367469879518073,0
1,2,73.11,372,77,14,19,5,295,7,2,3,2,4.769230769230769,0.7,5,1078,-706,1,0,1,25.0,0.9373076923076923,1
1,6,175.73,130,36,14,18,4,94,9,3,3,2,3.5135135135135136,0.7368421052631579,4,504,-374,1,0,1,21.052631578947366,4.749459459459459,0
1,6,100.15,153,86,14,20,6,67,5,6,2,1,1.7586206896551724,0.6666666666666666,6,1204,-1051,1,0,1,28.57142857142857,1.1511494252873564,0
0,3,93.94,372,104,0,9,9,268,4,3,2,1,3.5428571428571427,0.0,9,1456,-1084,1,0,1,90.0,0.8946666666666666,0
1,0,189.57,122,197,6,10,4,-75,6,3,2,2,0.6161616161616161,0.5454545454545454,4,2758,-2636,1,0,1,36.36363636363637,0.9574242424242424,0
1,5,116.42,226,404,5,10,5,-178,6,3,2,2,0.5580246913580247,0.45454545454545453,5,5656,-5430,1,0,1,45.45454545454545,0.2874567901234568,0
0,8,51.15,397,242,19,29,10,155,5,5,2,1,1.6337448559670782,0.6333333333333333,10,3388,-2991,1,0,1,33.33333333333333,0.21049382716049383,0
1,3,79.63,143,56,6,27,21,87,4,0,2,1,2.508771929824561,0.21428571428571427,21,784,-641,1,0,0,75.0,1.397017543859649,0
0,4,48.41,112,404,7,12,5,-292,11,0,4,2,0.2765432098765432,0.5384615384615384,5,5656,-5544,1,0,1,38.46153846153847,0.11953086419753085,0
0,7,149.37,449,301,12,20,8,148,8,0,3,1,1.4867549668874172,0.5714285714285714,8,4214,-3765,1,0,1,38.095238095238095,0.49460264900662254,0
1,3,88.32,512,41,4,5,1,471,11,4,4,0,12.19047619047619,0.6666666666666666,1,574,-62,1,0,1,16.666666666666664,2.1028571428571428,1
1,3,111.34,141,151,2,18,16,-10,1,2,1,1,0.9276315789473685,0.10526315789473684,16,2114,-1973,1,0,0,84.21052631578947,0.7325,0
1,5,153.7,576,107,5,8,3,469,10,2,4,2,5.333333333333333,0.5555555555555556,3,1498,-922,1,0,1,33.33333333333333,1.423148148148148,1
1,0,93.83,282,366,4,12,8,-84,6,4,2,1,0.7683923705722071,0.3076923076923077,8,5124,-4842,1,0,1,61.53846153846154,0.2556675749318801,0
0,3,131.57,186,251,1,28,27,-65,5,0,2,1,0.7380952380952381,0.034482758620689655,27,3514,-3328,1,0,0,93.10344827586206,0.5221031746031746,0
1,0,158.42,354,132,11,12,1,222,10,3,4,0,2.661654135338346,0.8461538461538461,1,1848,-1494,1,0,1,7.6923076923076925,1.1911278195488721,0
1,4,30.75,269,71,1,16,15,198,4,1,2,1,3.736111111111111,0.058823529411764705,15,994,-725,1,0,0,88.23529411764706,0.4270833333333333,0
1,8,52.39,173,424,3,20,17,-251,5,1,2,1,0.40705882352941175,0.14285714285714285,17,5936,-5763,1,0,0,80.95238095238095,0.12327058823529412,0
0,4,135.45,232,251,16,22,6,-19,8,4,3,1,0.9206349206349206,0.6956521739130435,6,3514,-3282,1,0,1,26.08695652173913,0.5375,0
0,6,195.35,563,60,13,21,8,503,5,5,2,1,9.229508196721312,0.5909090909090909,8,840,-277,1,0,1,36.36363636363637,3.2024590163934423,1
0,8,157.24,311,178,3,5,2,133,4,3,2,0,1.7374301675977655,0.5,2,2492,-2181,1,0,1,33.33333333333333,0.8784357541899442,0
1,8,180.87,103,111,15,20,5,-8,2,3,1,2,0.9196428571428571,0.7142857142857143,5,1554,-1451,1,0,1,23.809523809523807,1.6149107142857144,0
1,8,105.01,526,350,0,11,11,176,5,2,2,1,1.4985754985754987,0.0,11,4900,-4374,1,0,1,91.66666666666666,0.2991737891737892,0
1,6,90.81,275,165,1,5,4,110,4,1,2,2,1.6566265060240963,0.16666666666666666,4,2310,-2035,1,0,1,66.66666666666666,0.5470481927710843,0
1,1,112.96,561,383,20,22,2,178,1,2,1,0,1.4609375,0.8695652173913043,2,5362,-4801,1,0,1,8.695652173913043,0.29416666666666663,0
0,0,41.97,386,86,0,12,12,300,1,0,1,1,4.436781609195402,0.0,12,1204,-818,1,0,1,92.3076923076923,0.4824137931034483,1
1,3,137.15,441,36,5,11,6,405,5,6,2,1,11.91891891891892,0.4166666666666667,6,504,-63,1,0,1,50.0,3.7067567567567568,1
0,2,98.24,560,78,8,16,8,482,6,6,2,1,7.0886075949367084,0.47058823529411764,8,1092,-532,1,0,1,47.05882352941176,1.2435443037974683,1
0,1,184.61,512,161,14,20,6,351,6,3,2,1,3.1604938271604937,0.6666666666666666,6,2254,-1742,1,0,1,28.57142857142857,1.139567901234568,0
0,6,83.24,377,270,16,17,1,107,12,3,4,0,1.3911439114391144,0.8888888888888888,1,3780,-3403,1,0,1,5.555555555555555,0.30715867158671584,0
0,7,79.7,308,483,2,14,12,-175,10,6,4,1,0.6363636363636364,0.13333333333333333,12,6762,-6454,1,0,1,80.0,0.1646694214876033,0
1,0,101.24,172,232,17,29,12,-60,6,5,2,1,0.7381974248927039,0.5666666666666667,12,3248,-3076,1,0,1,40.0,0.43450643776824033,0
0,5,181.41,343,329,1,7,6,14,5,0,2,1,1.0393939393939393,0.125,6,4606,-4263,1,0,1,75.0,0.5497272727272727,0
0,0,86.88,117,84,5,7,2,33,10,3,4,2,1.3764705882352941,0.625,2,1176,-1059,1,0,1,25.0,1.0221176470588236,0
0,4,118.47,376,355,23,27,4,21,9,5,3,2,1.0561797752808988,0.8214285714285714,4,4970,-4594,1,0,1,14.285714285714285,0.3327808988764045,0
0,9,191.78,300,110,4,15,11,190,6,5,2,1,2.7027027027027026,0.25,11,1540,-1240,1,0,1,68.75,1.7277477477477479,0
1,5,36.06,354,368,20,29,9,-14,4,2,2,1,0.959349593495935,0.6666666666666666,9,5152,-4798,1,0,1,30.0,0.09772357723577237,0
0,0,185.33,198,221,4,5,1,-23,4,0,2,2,0.8918918918918919,0.6666666666666666,1,3094,-2896,1,0,1,16.666666666666664,0.8348198198198199,0
0,9,56.4,387,390,18,22,4,-3,7,6,3,2,0.989769820971867,0.782608695652174,4,5460,-5073,1,0,1,17.391304347826086,0.1442455242966752,0
1,0,124.5,178,335,2,28,26,-157,11,5,4,1,0.5297619047619048,0.06896551724137931,26,4690,-4512,1,0,0,89.65517241379311,0.3705357142857143,0
0,2,50.31,308,312,5,28,23,-4,6,0,2,1,0.9840255591054313,0.1724137931034483,23,4368,-4060,1,0,0,79.3103448275862,0.16073482428115016,0
0,6,56.21,147,204,6,20,14,-57,3,5,1,1,0.7170731707317073,0.2857142857142857,14,2856,-2709,1,0,0,66.66666666666666,0.27419512195121953,0
1,0,138.88,226,123,7,11,4,103,3,5,1,2,1.8225806451612903,0.5833333333333334,4,1722,-1496,1,0,1,33.33333333333333,1.1199999999999999,0
0,6,36.57,335,337,14,16,2,-2,9,0,3,2,0.9911242603550295,0.8235294117647058,2,4718,-4383,1,0,1,11.76470588235294,0.10819526627218935,0
0,2,168.27,72,302,10,29,19,-230,7,0,3,1,0.2376237623762376,0.3333333333333333,19,4228,-4156,1,0,0,63.33333333333333,0.5553465346534654,0
1,9,175.79,523,244,20,23,3,279,9,3,3,2,2.1346938775510202,0.8333333333333334,3,3416,-2893,1,0,1,12.5,0.7175102040816326,0
1,4,38.32,226,121,3,9,6,105,8,3,3,1,1.8524590163934427,0.3,6,1694,-1468,1,0,1,60.0,0.3140983606557377,0
0,8,79.16,412,466,10,14,4,-54,8,1,3,2,0.8822269807280514,0.6666666666666666,4,6524,-6112,1,0,1,26.666666666666668,0.16950749464668094,0
1,1,22.34,586,315,14,20,6,271,12,5,4,1,1.8544303797468353,0.6666666666666666,6,4410,-3824,1,0,1,28.57142857142857,0.07069620253164557,0
0,3,35.08,132,481,1,5,4,-349,10,1,4,2,0.27385892116182575,0.16666666666666666,4,6734,-6602,1,0,1,66.66666666666666,0.07278008298755187,0
0,1,195.36,330,384,15,29,14,-54,9,4,3,1,0.8571428571428571,0.5,14,5376,-5046,1,0,0,46.666666666666664,0.5074285714285715,0
1,5,162.35,373,394,20,28,8,-21,10,3,4,1,0.9443037974683545,0.6896551724137931,8,5516,-5143,1,0,1,27.586206896551722,0.4110126582278481,0
0,9,31.45,435,244,0,6,6,191,8,4,3,1,1.7755102040816326,0.0,6,3416,-2981,1,0,1,85.71428571428571,0.1283673469387755,0
0,1,65.25,142,49,8,19,11,93,8,4,3,1,2.84,0.4,11,686,-544,1,0,1,55.00000000000001,1.305,0
0,5,167.67,288,395,3,6,3,-107,6,3,2,2,0.7272727272727273,0.42857142857142855,3,5530,-5242,1,0,1,42.857142857142854,0.4234090909090909,0
0,7,79.57,230,390,20,29,9,-160,6,5,2,1,0.5882352941176471,0.6666666666666666,9,5460,-5230,1,0,1,30.0,0.20350383631713553,0
