country,harvest_date,vegetable,price,available_stock,daily_demand,freshness_age,shelf_life_days,remaining_life,supply_demand_gap,wastage_risk
Sri Lanka,2024-12-19,Tomato,105.68,456,214,4,13,9,242,Low
Sri Lanka,2024-11-07,Cabbage,189.3,483,304,11,25,14,179,Low
India,2024-01-19,Onion,116.92,297,35,7,10,3,262,Medium
Sri Lanka,2024-09-03,Tomato,71.76,288,132,4,19,15,156,Low
Sri Lanka,2024-04-01,Okra,191.97,544,410,16,28,12,134,Low
Sri Lanka,2024-07-02,Cauliflower,149.83,240,416,6,12,6,-176,Low
Sri Lanka,2024-09-22,Potato,36.54,248,498,7,8,1,-250,Medium
India,2024-11-18,Potato,67.07,189,66,15,16,1,123,High
India,2024-09-20,Green Chilli,74.69,351,464,19,26,7,-113,Low
India,2024-09-21,Potato,87.18,493,111,15,25,10,382,Low
Sri Lanka,2024-06-01,Tomato,75.89,245,154,2,17,15,91,Low
India,2024-05-09,Potato,30.31,546,487,5,10,5,59,Medium
Sri Lanka,2024-07-13,Onion,180.95,134,343,8,20,12,-209,Low
Sri Lanka,2024-08-25,Tomato,86.76,78,211,6,7,1,-133,Medium
India,2024-12-27,Okra,135.92,474,298,4,14,10,176,Low
India,2024-02-29,Okra,133.86,215,400,3,20,17,-185,Low
India,2024-06-27,Cabbage,160.01,363,373,5,17,12,-10,Low
Sri Lanka,2024-03-21,Brinjal,114.27,245,34,3,14,11,211,Low
Sri Lanka,2024-10-22,Tomato,144.56,122,379,10,29,19,-257,Low
India,2024-01-21,Cabbage,183.61,418,264,17,21,4,154,Medium
Sri Lanka,2024-06-11,Onion,28.6,454,431,15,25,10,23,Low
Sri Lanka,2024-06-12,Tomato,112.94,206,455,22,28,6,-249,Low
India,2024-12-10,Okra,145.29,526,273,23,27,4,253,Medium
Sri Lanka,2024-11-18,Brinjal,62.81,360,200,9,12,3,160,Medium
Sri Lanka,2024-05-25,Okra,105.79,106,275,7,21,14,-169,Low
Sri Lanka,2024-08-03,Carrot,136.14,342,61,12,19,7,281,Low
India,2024-09-12,Brinjal,121.04,57,73,4,5,1,-16,Medium
India,2024-03-30,Potato,107.52,139,408,17,25,8,-269,Low
India,2024-10-08,Beans,47.98,82,349,6,9,3,-267,Medium
India,2024-02-08,Carrot,73.12,514,482,0,12,12,32,Low
India,2024-09-19,Onion,62.81,64,204,2,22,20,-140,Low
India,2024-06-18,Beans,174.42,390,53,2,12,10,337,Low
India,2024-10-28,Cauliflower,102.85,97,372,0,6,6,-275,Low
Sri Lanka,2024-12-09,Cabbage,187.2,256,180,3,19,16,76,Low
India,2024-10-08,Brinjal,194.53,491,460,10,19,9,31,Low
India,2024-09-05,Okra,198.18,205,416,22,29,7,-211,Low
India,2024-02-22,Brinjal,80.08,271,361,4,22,18,-90,Low
Sri Lanka,2024-09-05,Carrot,73.31,540,394,0,12,12,146,Low
Sri Lanka,2024-02-14,Brinjal,33.13,166,85,0,18,18,81,Low
India,2024-08-23,Okra,192.12,440,334,0,6,6,106,Low
Sri Lanka,2024-08-07,Green Chilli,107.79,352,85,10,13,3,267,Medium
Sri Lanka,2024-04-01,Carrot,170.37,286,498,5,7,2,-212,Medium
India,2024-10-27,Potato,28.76,351,367,18,22,4,-16,Medium
Sri Lanka,2024-03-18,Potato,128.92,456,70,5,20,15,386,Low
India,2024-02-02,Potato,64.76,79,106,19,25,6,-27,Low
Sri Lanka,2024-10-30,Brinjal,123.49,379,372,22,26,4,7,Medium
India,2024-02-22,Green Chilli,115.47,345,342,8,15,7,3,Low
India,2024-04-22,Carrot,31.73,383,46,6,21,15,337,Low
Sri Lanka,2024-01-30,Green Chilli,76.51,242,243,8,10,2,-1,Medium
India,2024-08-26,Cabbage,86.04,461,478,10,17,7,-17,Low
India,2024-06-22,Carrot,123.56,537,224,10,22,12,313,Low
Sri Lanka,2024-01-03,Cabbage,144.7,301,464,5,12,7,-163,Low
Sri Lanka,2024-04-24,Carrot,49.26,311,468,4,14,10,-157,Low
India,2024-10-23,Carrot,53.04,115,50,8,9,1,65,Medium
India,2024-05-19,Beans,39.75,467,313,2,5,3,154,Medium
India,2024-09-22,Cabbage,64.78,253,151,2,19,17,102,Low
India,2024-04-21,Potato,77.08,192,150,2,11,9,42,Low
Sri Lanka,2024-09-18,Tomato,27.52,174,370,7,22,15,-196,Low
Sri Lanka,2024-08-26,Okra,78.14,402,207,3,6,3,195,Medium
India,2024-04-25,Tomato,97.75,491,30,10,16,6,461,Low
Sri Lanka,2024-06-23,Brinjal,168.43,412,280,15,23,8,132,Low
Sri Lanka,2024-03-30,Brinjal,198.83,594,69,0,5,5,525,Medium
Sri Lanka,2024-02-09,Brinjal,34.09,552,239,17,19,2,313,High
Sri Lanka,2024-01-31,Onion,69.13,351,330,7,14,7,21,Low
India,2024-06-29,Tomato,88.33,268,382,1,12,11,-114,Low
India,2024-12-19,Green Chilli,140.3,472,151,6,10,4,321,Medium
Sri Lanka,2024-05-09,Onion,89.02,252,78,10,17,7,174,Low
India,2024-01-16,Green Chilli,101.8,555,114,6,18,12,441,Low
India,2024-10-25,Potato,74.81,407,445,11,14,3,-38,Medium
India,2024-08-26,Okra,78.47,57,286,0,5,5,-229,Medium
Sri Lanka,2024-07-11,Carrot,41.6,248,192,6,13,7,56,Low
Sri Lanka,2024-07-09,Okra,112.77,345,368,17,20,3,-23,Medium
India,2024-05-15,Tomato,169.68,85,398,2,12,10,-313,Low
India,2024-02-15,Cauliflower,163.61,187,159,16,29,13,28,Low
India,2024-01-20,Cauliflower,157.42,530,262,2,10,8,268,Low
India,2024-01-22,Okra,169.4,489,193,1,16,15,296,Low
Sri Lanka,2024-09-23,Potato,88.95,569,349,14,19,5,220,Medium
Sri Lanka,2024-07-19,Beans,31.34,267,61,24,29,5,206,Medium
Sri Lanka,2024-02-27,Beans,153.2,572,447,7,8,1,125,High
India,2024-10-27,Tomato,20.12,304,142,8,22,14,162,Low
India,2024-10-19,Green Chilli,164.15,382,260,16,25,9,122,Low
Sri Lanka,2024-04-22,Potato,53.71,588,459,0,10,10,129,Low
India,2024-07-15,Beans,169.57,565,221,1,23,22,344,Low
Sri Lanka,2024-03-27,Potato,156.18,371,107,22,28,6,264,Low
Sri Lanka,2024-02-27,Okra,169.28,125,241,4,21,17,-116,Low
Sri Lanka,2024-12-01,Onion,63.62,181,183,10,13,3,-2,Medium
India,2024-04-17,Potato,173.59,294,327,25,27,2,-33,Medium
Sri Lanka,2024-08-11,Green Chilli,24.49,593,412,10,15,5,181,Medium
Sri Lanka,2024-04-05,Cabbage,45.85,598,301,5,9,4,297,Medium
Sri Lanka,2024-05-29,Brinjal,74.26,366,331,5,9,4,35,Medium
Sri Lanka,2024-07-31,Cabbage,73.11,372,77,14,19,5,295,Medium
Sri Lanka,2024-09-26,Okra,175.73,130,36,14,18,4,94,Medium
Sri Lanka,2024-05-12,Okra,100.15,153,86,14,20,6,67,Low
India,2024-04-04,Carrot,93.94,372,104,0,9,9,268,Low
Sri Lanka,2024-06-20,Beans,189.57,122,197,6,10,4,-75,Medium
Sri Lanka,2024-06-20,Green Chilli,116.42,226,404,5,10,5,-178,Medium
India,2024-05-18,Potato,51.15,397,242,19,29,10,155,Low
Sri Lanka,2024-04-15,Carrot,79.63,143,56,6,27,21,87,Low
India,2024-11-18,Cauliflower,48.41,112,404,7,12,5,-292,Medium
India,2024-08-12,Onion,149.37,449,301,12,20,8,148,Low
Sri Lanka,2024-11-01,Carrot,88.32,512,41,4,5,1,471,High
Sri Lanka,2024-01-17,Carrot,111.34,141,151,2,18,16,-10,Low
Sri Lanka,2024-10-30,Green Chilli,153.7,576,107,5,8,3,469,Medium
Sri Lanka,2024-06-07,Beans,93.83,282,366,4,12,8,-84,Low
India,2024-05-13,Carrot,131.57,186,251,1,28,27,-65,Low
Sri Lanka,2024-10-31,Beans,158.42,354,132,11,12,1,222,High
Sri Lanka,2024-04-30,Cauliflower,30.75,269,71,1,16,15,198,Low
Sri Lanka,2024-05-14,Potato,52.39,173,424,3,20,17,-251,Low
India,2024-08-02,Cauliflower,135.45,232,251,16,22,6,-19,Low
India,2024-05-04,Okra,195.35,563,60,13,21,8,503,Low
India,2024-04-25,Potato,157.24,311,178,3,5,2,133,High
Sri Lanka,2024-02-15,Potato,180.87,103,111,15,20,5,-8,Medium
Sri Lanka,2024-05-01,Potato,105.01,526,350,0,11,11,176,Low
Sri Lanka,2024-04-02,Okra,90.81,275,165,1,5,4,110,Medium
Sri Lanka,2024-01-31,Brinjal,112.96,561,383,20,22,2,178,High
India,2024-01-01,Beans,41.97,386,86,0,12,12,300,Low
Sri Lanka,2024-05-12,Carrot,137.15,441,36,5,11,6,405,Low
India,2024-06-23,Cabbage,98.24,560,78,8,16,8,482,Low
India,2024-06-06,Brinjal,184.61,512,161,14,20,6,351,Low
India,2024-12-26,Okra,83.24,377,270,16,17,1,107,High
India,2024-10-27,Onion,79.7,308,483,2,14,12,-175,Low
Sri Lanka,2024-06-01,Beans,101.24,172,232,17,29,12,-60,Low
India,2024-05-06,Green Chilli,181.41,343,329,1,7,6,14,Low
India,2024-10-10,Beans,86.88,117,84,5,7,2,33,Medium
India,2024-09-21,Cauliflower,118.47,376,355,23,27,4,21,Medium
India,2024-06-22,Tomato,191.78,300,110,4,15,11,190,Low
Sri Lanka,2024-04-03,Green Chilli,36.06,354,368,20,29,9,-14,Low
India,2024-04-15,Beans,185.33,198,221,4,5,1,-23,Medium
India,2024-07-21,Tomato,56.4,387,390,18,22,4,-3,Medium
Sri Lanka,2024-11-09,Beans,124.5,178,335,2,28,26,-157,Low
India,2024-06-10,Cabbage,50.31,308,312,5,28,23,-4,Low
India,2024-03-02,Okra,56.21,147,204,6,20,14,-57,Low
Sri Lanka,2024-03-02,Beans,138.88,226,123,7,11,4,103,Medium
India,2024-09-09,Okra,36.57,335,337,14,16,2,-2,Medium
India,2024-07-01,Cabbage,168.27,72,302,10,29,19,-230,Low
Sri Lanka,2024-09-12,Tomato,175.79,523,244,20,23,3,279,Medium
Sri Lanka,2024-08-08,Cauliflower,38.32,226,121,3,9,6,105,Low
India,2024-08-06,Potato,79.16,412,466,10,14,4,-54,Medium
Sri Lanka,2024-12-14,Brinjal,22.34,586,315,14,20,6,271,Low
India,2024-10-29,Carrot,35.08,132,481,1,5,4,-349,Medium
India,2024-09-13,Brinjal,195.36,330,384,15,29,14,-54,Low
Sri Lanka,2024-10-03,Green Chilli,162.35,373,394,20,28,8,-21,Low
India,2024-08-23,Tomato,31.45,435,244,0,6,6,191,Low
India,2024-08-16,Brinjal,65.25,142,49,8,19,11,93,Low
India,2024-06-20,Green Chilli,167.67,288,395,3,6,3,-107,Medium
India,2024-06-08,Onion,79.57,230,390,20,29,9,-160,Low
Sri Lanka,2024-04-28,Okra,42.94,588,89,7,18,11,499,Low
India,2024-10-31,Beans,75.09,125,256,21,22,1,-131,Medium
India,2024-03-14,Okra,92.97,360,284,10,29,19,76,Low
Sri Lanka,2024-05-19,Brinjal,98.02,324,167,16,23,7,157,Low
India,2024-05-10,Tomato,82.95,578,345,9,12,3,233,Medium
India,2024-10-13,Onion,156.73,117,216,6,10,4,-99,Medium
Sri Lanka,2024-04-23,Beans,90.11,486,463,14,23,9,23,Low
India,2024-07-12,Tomato,168.2,458,439,0,9,9,19,Low
India,2024-04-27,Brinjal,155.63,398,83,14,27,13,315,Low
India,2024-12-23,Potato,180.58,164,129,9,13,4,35,Medium
Sri Lanka,2024-09-17,Beans,122.4,420,54,2,5,3,366,Medium
Sri Lanka,2024-11-16,Cauliflower,182.52,343,312,0,14,14,31,Low
India,2024-03-04,Okra,107.59,453,274,2,26,24,179,Low
Sri Lanka,2024-02-25,Brinjal,192.16,439,43,6,10,4,396,Medium
Sri Lanka,2024-02-13,Cauliflower,92.5,505,218,9,11,2,287,High
Sri Lanka,2024-07-06,Green Chilli,21.1,592,376,16,17,1,216,High
Sri Lanka,2024-08-03,Onion,120.85,431,71,3,28,25,360,Low
India,2024-08-12,Carrot,58.84,409,336,2,7,5,73,Medium
India,2024-10-24,Cabbage,101.23,459,96,0,29,29,363,Low
Sri Lanka,2024-10-08,Potato,60.25,178,374,7,23,16,-196,Low
Sri Lanka,2024-05-14,Tomato,190.04,151,293,19,21,2,-142,Medium
India,2024-06-12,Okra,95.32,437,55,17,27,10,382,Low
Sri Lanka,2024-11-28,Okra,144.03,252,488,16,21,5,-236,Medium
India,2024-10-14,Cabbage,171.45,447,295,18,25,7,152,Low
India,2024-03-18,Cauliflower,32.01,316,307,1,6,5,9,Medium
India,2024-10-16,Beans,163.84,155,280,26,27,1,-125,Medium
Sri Lanka,2024-01-20,Onion,34.51,361,94,4,16,12,267,Low
Sri Lanka,2024-05-13,Okra,198.71,159,188,8,13,5,-29,Medium
India,2024-04-23,Carrot,107.49,112,186,11,22,11,-74,Low
Sri Lanka,2024-03-22,Tomato,139.01,474,31,1,7,6,443,Low
India,2024-08-15,Cabbage,60.67,115,265,24,25,1,-150,Medium
India,2024-05-14,Green Chilli,76.49,54,350,9,19,10,-296,Low
Sri Lanka,2024-04-26,Onion,165.95,397,333,7,25,18,64,Low
India,2024-11-20,Carrot,81.22,528,354,3,13,10,174,Low
India,2024-06-04,Green Chilli,54.23,398,70,1,14,13,328,Low
Sri Lanka,2024-03-15,Beans,156.6,273,439,21,24,3,-166,Medium
Sri Lanka,2024-12-05,Okra,46.24,556,59,2,29,27,497,Low
India,2024-11-18,Green Chilli,121.54,184,166,13,23,10,18,Low
India,2024-03-17,Beans,82.19,314,166,1,20,19,148,Low
India,2024-08-12,Brinjal,66.87,444,126,21,29,8,318,Low
India,2024-07-21,Okra,29.28,376,430,23,24,1,-54,Medium
India,2024-04-14,Cabbage,110.4,114,291,2,22,20,-177,Low
India,2024-06-29,Cabbage,116.04,357,279,16,19,3,78,Medium
Sri Lanka,2024-03-05,Potato,49.7,359,237,7,26,19,122,Low
India,2024-11-07,Cauliflower,77.66,384,260,20,27,7,124,Low
India,2024-09-26,Carrot,93.91,247,144,22,23,1,103,High
India,2024-05-27,Carrot,80.26,543,324,11,12,1,219,High
Sri Lanka,2024-09-20,Tomato,124.12,173,276,2,20,18,-103,Low
India,2024-04-15,Tomato,67.42,235,261,11,25,14,-26,Low
India,2024-05-17,Onion,24.97,163,172,9,19,10,-9,Low
Sri Lanka,2024-06-09,Brinjal,174.35,471,249,10,11,1,222,High
India,2024-07-24,Potato,49.55,535,311,9,13,4,224,Medium
India,2024-12-16,Carrot,64.91,311,460,11,29,18,-149,Low
India,2024-01-21,Cauliflower,37.55,238,329,8,11,3,-91,Medium
India,2024-11-08,Beans,165.71,60,40,4,6,2,20,Medium
Sri Lanka,2024-04-18,Carrot,139.96,155,97,9,12,3,58,Medium
Sri Lanka,2024-10-07,Cabbage,42.89,81,488,2,10,8,-407,Low
India,2024-12-21,Tomato,98.5,175,372,3,25,22,-197,Low
Sri Lanka,2024-04-21,Tomato,34.25,334,303,18,23,5,31,Medium
India,2024-12-13,Carrot,175.35,180,295,9,22,13,-115,Low
Sri Lanka,2024-06-30,Okra,187.39,499,122,2,13,11,377,Low
India,2024-08-02,Potato,192.66,418,147,1,20,19,271,Low
Sri Lanka,2024-10-21,Onion,31.82,95,439,15,28,13,-344,Low
India,2024-10-17,Green Chilli,130.7,405,233,8,13,5,172,Medium
India,2024-04-23,Cauliflower,116.92,230,51,10,28,18,179,Low
Sri Lanka,2024-09-10,Green Chilli,141.44,364,200,9,18,9,164,Low
Sri Lanka,2024-04-05,Beans,142.9,584,498,10,14,4,86,Medium
India,2024-10-12,Beans,43.81,350,192,8,22,14,158,Low
Sri Lanka,2024-05-14,Beans,94.86,180,240,25,26,1,-60,Medium
Sri Lanka,2024-09-09,Green Chilli,83.97,599,132,14,18,4,467,Medium
Sri Lanka,2024-02-15,Carrot,180.39,53,497,13,17,4,-444,Medium
India,2024-05-03,Cabbage,131.89,541,132,2,5,3,409,Medium
Sri Lanka,2024-05-10,Beans,142.37,68,372,13,23,10,-304,Low
India,2024-04-06,Cauliflower,197.78,329,50,4,24,20,279,Low
India,2024-10-26,Carrot,170.13,81,46,11,21,10,35,Low
Sri Lanka,2024-09-08,Carrot,167.75,120,39,3,19,16,81,Low
Sri Lanka,2024-07-26,Green Chilli,162.55,447,98,2,20,18,349,Low
India,2024-09-05,Potato,93.42,474,413,8,17,9,61,Low
India,2024-11-11,Onion,75.11,215,61,7,9,2,154,High
India,2024-01-05,Cabbage,81.33,54,465,12,25,13,-411,Low
Sri Lanka,2024-09-24,Okra,36.09,172,289,8,16,8,-117,Low
India,2024-07-28,Green Chilli,171.7,59,240,2,9,7,-181,Low
India,2024-01-15,Potato,116.6,497,104,9,25,16,393,Low
India,2024-06-13,Tomato,116.07,145,143,1,17,16,2,Low
Sri Lanka,2024-01-22,Brinjal,179.54,519,164,12,14,2,355,High
Sri Lanka,2024-05-08,Cauliflower,122.64,517,36,16,21,5,481,Medium
India,2024-10-02,Potato,31.45,265,257,4,6,2,8,Medium
Sri Lanka,2024-06-22,Carrot,58.04,362,412,14,21,7,-50,Low
Sri Lanka,2024-03-26,Cauliflower,169.55,104,105,10,11,1,-1,Medium
Sri Lanka,2024-06-08,Potato,28.69,127,204,4,7,3,-77,Medium
India,2024-11-11,Beans,111.11,90,393,1,11,10,-303,Low
Sri Lanka,2024-03-02,Onion,75.68,115,154,4,15,11,-39,Low
India,2024-02-11,Tomato,75.84,151,438,16,17,1,-287,Medium
India,2024-05-15,Cabbage,27.09,59,185,22,24,2,-126,Medium
Sri Lanka,2024-02-22,Tomato,187.81,525,441,7,14,7,84,Low
India,2024-02-02,Tomato,89.13,57,73,0,7,7,-16,Low
India,2024-10-07,Onion,101.66,304,454,3,29,26,-150,Low
Sri Lanka,2024-12-16,Onion,128.58,82,113,14,16,2,-31,Medium
Sri Lanka,2024-07-30,Okra,37.01,572,307,0,22,22,265,Low
India,2024-12-16,Onion,169.59,167,279,7,13,6,-112,Low
Sri Lanka,2024-12-19,Tomato,70.77,114,272,0,8,8,-158,Low
Sri Lanka,2024-04-10,Cabbage,121.84,403,345,4,12,8,58,Low
India,2024-12-30,Beans,36.16,209,94,21,27,6,115,Low
India,2024-04-28,Tomato,186.11,203,135,5,15,10,68,Low
Sri Lanka,2024-09-22,Potato,45.91,338,182,5,10,5,156,Medium
Sri Lanka,2024-12-03,Beans,75.92,96,87,9,15,6,9,Low
India,2024-07-21,Green Chilli,101.29,322,362,17,22,5,-40,Medium
India,2024-03-06,Okra,187.99,290,120,1,17,16,170,Low
India,2024-08-28,Cauliflower,101.35,446,229,4,8,4,217,Medium
India,2024-01-14,Green Chilli,130.51,409,246,4,5,1,163,High
India,2024-08-20,Tomato,37.15,77,490,10,26,16,-413,Low
India,2024-06-13,Potato,198.93,189,144,3,13,10,45,Low
India,2024-10-15,Tomato,159.91,158,421,14,15,1,-263,Medium
India,2024-01-08,Cabbage,103.17,238,64,3,13,10,174,Low
Sri Lanka,2024-03-22,Onion,176.58,578,53,3,7,4,525,Medium
Sri Lanka,2024-08-03,Tomato,59.91,457,274,5,7,2,183,High
Sri Lanka,2024-10-19,Brinjal,120.26,134,39,6,23,17,95,Low
Sri Lanka,2024-09-06,Brinjal,21.98,311,393,11,20,9,-82,Low
Sri Lanka,2024-07-18,Carrot,24.11,367,37,14,15,1,330,High
Sri Lanka,2024-06-09,Tomato,63.09,421,328,13,15,2,93,High
Sri Lanka,2024-06-19,Tomato,134.39,574,292,0,7,7,282,Low
Sri Lanka,2024-08-27,Okra,83.28,165,428,7,20,13,-263,Low
Sri Lanka,2024-11-29,Okra,31.92,67,203,8,11,3,-136,Medium
Sri Lanka,2024-08-09,Green Chilli,76.59,517,334,6,13,7,183,Low
Sri Lanka,2024-12-17,Cabbage,82.77,265,87,0,10,10,178,Low
India,2024-01-04,Beans,180.55,534,293,6,20,14,241,Low
India,2024-06-18,Brinjal,125.49,100,180,6,8,2,-80,Medium
Sri Lanka,2024-05-09,Onion,49.27,456,105,3,19,16,351,Low
India,2024-05-01,Onion,124.42,180,44,0,6,6,136,Low
Sri Lanka,2024-05-17,Beans,189.31,193,104,0,24,24,89,Low
Sri Lanka,2024-07-17,Cauliflower,64.86,267,382,7,13,6,-115,Low
India,2024-02-14,Carrot,54.07,263,81,3,21,18,182,Low
India,2024-02-14,Brinjal,142.75,481,380,5,10,5,101,Medium
Sri Lanka,2024-10-13,Okra,131.1,352,88,1,27,26,264,Low
Sri Lanka,2024-10-15,Potato,111.35,579,62,23,26,3,517,Medium
India,2024-12-20,Okra,127.55,169,283,17,20,3,-114,Medium
Sri Lanka,2024-11-26,Brinjal,147.57,51,268,10,21,11,-217,Low
Sri Lanka,2024-08-25,Beans,39.55,429,253,5,25,20,176,Low
India,2024-10-26,Cabbage,75.68,387,73,17,25,8,314,Low
India,2024-02-12,Onion,26.03,374,239,6,15,9,135,Low
India,2024-11-13,Green Chilli,131.54,101,328,0,7,7,-227,Low
Sri Lanka,2024-07-11,Beans,130.46,520,183,0,28,28,337,Low
India,2024-11-16,Carrot,151.7,385,190,12,15,3,195,Medium
Sri Lanka,2024-08-02,Brinjal,128.87,209,168,20,21,1,41,Medium
Sri Lanka,2024-11-05,Carrot,75.67,366,321,8,10,2,45,Medium
India,2024-07-01,Okra,87.47,241,475,15,20,5,-234,Medium
Sri Lanka,2024-04-20,Cauliflower,63.62,71,262,7,16,9,-191,Low
India,2024-10-28,Cauliflower,154.42,578,346,14,27,13,232,Low
Sri Lanka,2024-02-23,Beans,159.68,510,302,7,19,12,208,Low
Sri Lanka,2024-09-10,Cauliflower,70.74,319,419,5,20,15,-100,Low
Sri Lanka,2024-08-23,Carrot,93.56,269,79,4,11,7,190,Low
India,2024-12-10,Green Chilli,53.01,185,240,14,15,1,-55,Medium
Sri Lanka,2024-08-29,Potato,78.12,100,138,7,12,5,-38,Medium
Sri Lanka,2024-04-25,Cabbage,74.28,578,30,23,28,5,548,Medium
Sri Lanka,2024-01-27,Beans,103.71,597,277,6,23,17,320,Low
Sri Lanka,2024-10-04,Brinjal,23.03,479,113,5,23,18,366,Low
Sri Lanka,2024-07-23,Potato,119.12,126,282,15,21,6,-156,Low
India,2024-10-13,Cabbage,176.0,55,420,11,19,8,-365,Low
Sri Lanka,2024-09-22,Potato,22.68,474,237,15,18,3,237,Medium
Sri Lanka,2024-11-07,Cabbage,187.77,431,227,14,28,14,204,Low
India,2024-12-19,Green Chilli,48.97,136,290,7,29,22,-154,Low
India,2024-06-15,Potato,160.58,519,246,0,23,23,273,Low
Sri Lanka,2024-08-17,Onion,67.18,259,126,10,12,2,133,High
Sri Lanka,2024-07-04,Green Chilli,90.07,293,373,3,21,18,-80,Low
India,2024-12-17,Onion,120.93,109,374,4,22,18,-265,Low
Sri Lanka,2024-12-09,Potato,193.53,252,66,3,12,9,186,Low
India,2024-03-23,Beans,136.72,219,329,0,12,12,-110,Low
India,2024-12-20,Green Chilli,119.62,371,252,8,27,19,119,Low
India,2024-08-25,Brinjal,115.0,463,427,5,20,15,36,Low
India,2024-04-09,Cabbage,191.65,266,172,10,25,15,94,Low
Sri Lanka,2024-07-20,Cauliflower,198.35,216,427,4,7,3,-211,Medium
India,2024-06-18,Cabbage,31.61,428,279,9,14,5,149,Medium
Sri Lanka,2024-07-30,Okra,129.2,280,197,7,10,3,83,Medium
India,2024-11-13,Brinjal,178.97,507,481,3,18,15,26,Low
Sri Lanka,2024-01-30,Carrot,191.88,339,173,12,27,15,166,Low
India,2024-12-16,Cabbage,77.82,277,328,24,26,2,-51,Medium
India,2024-04-10,Onion,176.4,320,457,13,26,13,-137,Low
Sri Lanka,2024-08-27,Onion,91.69,542,412,1,15,14,130,Low
Sri Lanka,2024-08-10,Carrot,150.89,501,330,10,20,10,171,Low
India,2024-04-27,Tomato,96.29,284,458,4,5,1,-174,Medium
India,2024-04-10,Potato,187.66,492,323,6,12,6,169,Low
India,2024-04-03,Carrot,166.2,268,371,3,13,10,-103,Low
India,2024-12-01,Beans,106.1,399,277,17,23,6,122,Low
Sri Lanka,2024-11-08,Green Chilli,52.87,234,45,8,10,2,189,High
India,2024-11-12,Okra,158.96,439,101,14,27,13,338,Low
Sri Lanka,2024-01-20,Beans,87.93,505,176,2,6,4,329,Medium
Sri Lanka,2024-12-02,Onion,103.3,160,435,6,24,18,-275,Low
India,2024-01-08,Beans,148.99,274,496,6,28,22,-222,Low
Sri Lanka,2024-11-23,Cauliflower,31.75,321,237,3,15,12,84,Low
India,2024-02-28,Potato,173.8,538,403,7,29,22,135,Low
Sri Lanka,2024-04-16,Cabbage,55.77,302,345,4,24,20,-43,Low
Sri Lanka,2024-08-06,Brinjal,116.24,253,41,6,19,13,212,Low
India,2024-06-23,Green Chilli,120.24,514,334,1,12,11,180,Low
India,2024-04-26,Okra,29.14,391,461,4,7,3,-70,Medium
Sri Lanka,2024-07-08,Carrot,114.33,369,174,2,8,6,195,Low
India,2024-10-30,Onion,176.97,347,349,3,5,2,-2,Medium
Sri Lanka,2024-09-16,Beans,44.16,397,421,4,6,2,-24,Medium
India,2024-03-26,Green Chilli,58.22,587,137,2,9,7,450,Low
India,2024-07-10,Beans,114.55,503,251,12,18,6,252,Low
Sri Lanka,2024-03-27,Potato,54.42,574,157,10,11,1,417,High
India,2024-04-13,Brinjal,122.3,150,273,7,12,5,-123,Medium
India,2024-01-13,Green Chilli,183.51,578,141,10,15,5,437,Medium
India,2024-06-03,Green Chilli,96.99,146,339,20,28,8,-193,Low
